글번호,등록일자,등록시간,등록자이름,이메일,비밀번호,글내용
1,2021-05-06,10:10:43,갈한수,Kor001@naver.com,1234,모든 국민은 법률이 정하는 바에 의하여 납세의 의무를 진다. 헌법재판소 재판관은 탄핵 또는 금고 이상의 형의 선고에 의하지 아니하고는 파면되지 아니한다. 모든 국민은 종교의 자유를 가진다. 모든 국민은 근로의 의무를 진다. 국가는 근로의 의무의 내용과 조건을 민주주의원칙에 따라 법률로 정한다.
2,2021-05-31,10:10:33,강이찬,Kor002@naver.com,1234,"정당의 설립은 자유이며, 복수정당제는 보장된다. 국회가 재적의원 과반수의 찬성으로 계엄의 해제를 요구한 때에는 대통령은 이를 해제하여야 한다. 행정각부의 장은 국무위원 중에서 국무총리의 제청으로 대통령이 임명한다."
3,2021-05-16,10:10:56,개원훈,Kor003@naver.com,1234,타인의 범죄행위로 인하여 생명·신체에 대한 피해를 받은 국민은 법률이 정하는 바에 의하여 국가로부터 구조를 받을 수 있다. 의원을 제명하려면 국회재적의원 3분의 2 이상의 찬성이 있어야 한다.
4,2021-05-25,10:10:38,경시현,Kor004@naver.com,1234,대법원장과 대법관이 아닌 법관은 대법관회의의 동의를 얻어 대법원장이 임명한다. 국가안전보장에 관련되는 대외정책·군사정책과 국내정책의 수립에 관하여 국무회의의 심의에 앞서 대통령의 자문에 응하기 위하여 국가안전보장회의를 둔다.
5,2021-05-22,10:10:29,공동영,Kor005@naver.com,1234,"누구든지 체포 또는 구속을 당한 때에는 즉시 변호인의 조력을 받을 권리를 가진다. 다만, 형사피고인이 스스로 변호인을 구할 수 없을 때에는 법률이 정하는 바에 의하여 국가가 변호인을 붙인다."
6,2021-05-03,10:10:46,기대연,Kor006@naver.com,1234,국가는 사회보장·사회복지의 증진에 노력할 의무를 진다. 국회의원은 그 지위를 남용하여 국가·공공단체 또는 기업체와의 계약이나 그 처분에 의하여 재산상의 권리·이익 또는 직위를 취득하거나 타인을 위하여 그 취득을 알선할 수 없다.
7,2021-05-29,10:10:21,기원호,Kor007@naver.com,1234,"대통령의 선거에 관한 사항은 법률로 정한다. 대법원과 각급법원의 조직은 법률로 정한다. 대법원장의 임기는 6년으로 하며, 중임할 수 없다. 국정의 중요한 사항에 관한 대통령의 자문에 응하기 위하여 국가원로로 구성되는 국가원로자문회의를 둘 수 있다"
8,2021-05-14,10:10:17,기은성,Kor008@naver.com,1234,국회는 헌법 또는 법률에 특별한 규정이 없는 한 재적의원 과반수의 출석과 출석의원 과반수의 찬성으로 의결한다. 가부동수인 때에는 부결된 것으로 본다.
9,2021-05-29,10:10:58,나한율,Kor009@naver.com,1234,"대통령이 궐위되거나 사고로 인하여 직무를 수행할 수 없을 때에는 국무총리, 법률이 정한 국무위원의 순서로 그 권한을 대행한다. 헌법에 의하여 체결·공포된 조약과 일반적으로 승인된 국제법규는 국내법과 같은 효력을 가진다."
10,2021-05-21,10:10:13,남동예,Kor010@naver.com,1234,"국가는 지역간의 균형있는 발전을 위하여 지역경제를 육성할 의무를 진다. 대법원장의 임기는 6년으로 하며, 중임할 수 없다. 감사원은 세입·세출의 결산을 매년 검사하여 대통령과 차년도국회에 그 결과를 보고하여야 한다."
